SlNo,Drug_Name,Reason,Description,Company_Name,NSE_Symbol,Rating,Industry
8783,Betacap TR 80mg Tablet 10'SBetacap 20mg Tablet 10'SBetacap 20mg Capsule 10'SBetacap 10mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
8784,Betacap Plus LS 20 mg Capsule 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
8785,Betacap TR Capsule 10'S,Hypertension,lower high blood pressure (hypertension),Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
8786,Betacap TR 80mg Capsule 10'SBetacap TR 40mg Capsule 10'SBetacap TR 60mg Capsule 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
8787,Betacard 25mg Tablet 14'SBetacard 50mg Tablet 14'SBetacard 100mg Tablet 14'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
8788,Betacard AM Tablet 10'SBetacard AM 50/5mg Tablet 14'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
8789,Betacard H 50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
8790,Betaloc Injection 5mlBetaloc 50mg Tablet 30'SBetaloc 100mg Tablet 10'SBetaloc 25mg Tablet 30'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
8791,Betaloc H 100mg Tablet 10'SBetaloc H 50mg Tablet 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
8792,Betalol 5mg Tablet 10'SBetalol 2.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
8793,Betalol H Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
8794,Betamet Er 25Mg Tablet 10'sBetamet ER 50mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
8795,Betamet XL AM Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
8796,Betanif Capsule 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
8797,Betaone AM 50+5mg Capsule 10'SBetaone AM 25/5mg Capsule 10'S,Hypertension,lower high blood pressure (hypertension),Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
8798,Betaone Atr 25/10mg Capsule 10'SBetaone Atr 50/10mg Capsule 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
8799,Betaone R 50/5mg Capsule 10'SBetaone R 25/2.5mg Capsule 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
8800,Betaone XL Activ 50mg Tablet 30'SBetaone XL 100mg Tablet 10'SBetaone XL 50mg Tablet 15'SBetaone XL 50mg Tablet 10'SBetaone XL 50mg Tablet 30'SBetaone XL 12.5mg Tablet 10'SBetaone XL 25mg Tablet 15'SBetaone XL Activ 25mg Tablet 30'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
8801,Betatrop Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
8802,Beten 50mg Tablet 14'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
8803,Betgenta Cream 20gm,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
8804,Bilosar 12.5mg Tablet 10'SBilosar 6.25mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
8805,Biodipin 2.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
8806,Biodipin AT 5/50mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
8807,Biolsar 20/6.25mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
8808,Biolsar HS 40mg Tablet 10'SBiolsar HS 20/12.5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
8809,Biopress AM 5/50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
8810,Biosartan 50mg Tablet 10'SBiosartan 25mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
8811,Biosartan H 50/12.5 Tablet 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
8812,Biozocin XL 2.5mg Tablet 10'SBiozocin XL 5mg Tablet 15'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
8813,BIS Beta 5mg Tablet 10'SBIS Beta 1.25mg Tablet 10'SBIS Beta 2.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
8814,Biselect 10mg Tablet 10'SBiselect 2.5mg Tablet 10'SBiselect 5mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
8815,Biselect LD 2.5/6.25mg Tablet 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
8816,Bisocar 2.5mg Tablet 10'SBisocar 5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
8817,BISOCAR HT Tablet 10's,Hypertension,lower high blood pressure (hypertension),Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
8818,Bisoheart 2.5mg Tablet 10'SBisoheart 5mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
8819,Bisoheart AM 2.5mg Tablet 10'SBisoheart AM 5mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
8820,Bisokem 2.5mg Tablet 10'SBisokem 5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
8821,Bisosafe 2.5mg Tablet 10'SBisosafe 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
8822,BITATEL 80mg Tablet 10'sBitatel 40mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
8823,BITATEL AM 5mg/40mg Tablet 10's,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
8824,BITATEL CH 40/12.5mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
8825,BITATEL M 25mg Tablet 10'sBITATEL M 50mg Tablet 10's,Hypertension,lower high blood pressure (hypertension),Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
8826,Bitelsar 40mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
8827,Bitelsar HS 40mg Tablet 10'SBitelsar HS 80mg Tablet 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
8828,Blumeta 50mg Tablet 10'SBlumeta 50mg Tablet 15'SBlumeta 25mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
8829,Bosenat 125mg Tablet 10'SBosenat 62.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
8830,Bosentas 62.5mg Tablet 10'SBosentas 125mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
8831,Bozetan 125mg Tablet 10'SBozetan 62.5mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
8832,Bp Loc 50Mg Tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
8833,Bp Loc R 50/5Mg Tablet 10'sBp Loc R 25/2.5Mg Tablet 10's,Hypertension,lower high blood pressure (hypertension),Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
8834,Bp Loc Xl 50Mg Tablet 10's,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
8835,BP Norm AT 5/50mg Tablet 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
8836,BP Tel 80mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
8837,Bpcure 50mg Tablet 10'SBpcure 25mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
8838,Bpcure H 50/12.5mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
8839,BPMET H 25mg Tablet 10's,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
8840,Bpmet XL 12.5mg Tablet 10'SBpmet XL 50mg Tablet 10'SBpmet XL 25mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
8841,Bpzide 12.5mg Tablet 10'SBpzide 25mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
8842,BQL 10mg Tablet 10'SBQL 5mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
8843,C Udp 5mg Tablet 10'SC Udp 20mg Tablet 10'SC Udp 10mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
8844,Cadmet XR 25mg Tablet 10'SCadmet XR 50mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
8845,Cadpres 50mg Tablet 14'SCADPRES 100mg Tablet 14's,Hypertension,lower high blood pressure (hypertension),Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
8846,Cadpril 5mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
8847,Calaptin 80mg Tablet 10'SCalaptin 40mg Tablet 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
8848,Calaptin SR 120mg Tablet 10'SCalaptin SR 240mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
8849,Calbeta 50/20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
8850,Calbloc 10mg Capsule 10'SCalbloc 20mg Tablet 10'SCalbloc 5mg Capsule 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
8851,Calchek 10mg Tablet 10'SCalchek 2.5mg Tablet 10'SCalchek 5mg Tablet 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
8852,Calchek L 2.5mg Tablet 10'SCalchek L 5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
8853,Calchek T 40mg Tablet 10'SCalchek T 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
8854,Calcigard 5mg Capsule 10'SCalcigard 10mg Capsule 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
8855,Calcigard Retard 10mg Tablet 10'SCalcigard Retard 20mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
8856,Calnif Retard 10mg Tablet 10'SCalnif Retard Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
8857,Camlo 5mg Tablet 10'SCamlo 2.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
8858,Camlodip 5mg Tablet 10'SCamlodip 10mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
8859,Canapril 5mg Tablet 10'SCanapril 2.5mg Tablet 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
8860,Candelong 4mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
8861,Candelong H Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
8862,CANDEZ 8mg Tablet 10'sCANDEZ 4mg Tablet 10's,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
8863,Cantar 8mg Tablet 10'SCantar 16mg Tablet 10'SCantar 4mg Tablet 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
8864,Capinol La 20Mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
8865,Carca 3.125mg Tablet 15'SCarca 12.5mg Tablet 10'SCarca 6.25mg Tablet 10'SCarca 6.25mg Tablet 15'SCarca CR 20mg Tablet 10'SCarca CR 80mg Tablet 10'SCarca 25mg Tablet 10'SCarca CR 10mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
8866,Carca CR 40mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
8867,Card 10mg Tablet 10'SCard 5mg Tablet 10'SCard 2.5mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
8868,Cardace 1.25mg Tablet 15'SCardace 5mg Tablet 15'SCardace 10mg Tablet 15'SCardace Protect 5mg Tablet 10'SCardace 2.5mg Tablet 15'SCardace 10mg Tablet 10'SCardace 5mg Tablet 10'SCardace 1.25mg Tablet 10'SCardace H 5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
8869,Cardace AM 2.5/5mg Tablet 10'SCardace AM 10mg/5mg Tablet 10'SCardace AM 5mg/5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
8870,Cardace H 2.5mg Tablet 10'SCardace H 10mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
8871,Cardace Meto 2.5/25mg Tablet 10'SCardace Meto 5mg Tablet 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
8872,Cardace Protect 2.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
8873,Cardem 30mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
8874,Cardenol 50mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
8875,Cardibeta 12.5mg Capsule 10'SCardibeta 50mg Capsule 10'SCardibeta 25mg Capsule 10'SCardibeta 100mg Capsule 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
8876,Cardibeta AM 50/5mg Tablet 7'SCardibeta AM 25mg Tablet 7'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
8877,Cardibeta XR 25mg Tablet 10'SCardibeta XR 100mg Tablet 10'SCardibeta XR 12.5mg Tablet 10'SCardibeta XR 50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
8878,Cardika 2.5mg Capsule 6'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
8879,Cardikare 50mg Tablet 10'SCardikare 25mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
8880,Cardikare H 50/12.5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
8881,Cardimol 40mg Tablet 10'SCardimol 10mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
8882,Cardimol Plus 10/40mg Tablet 10'SCardimol Plus 5mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
8883,Cardimol SR 40mg Tablet 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
8884,Cardinorm 6.25mg Tablet 10'SCARDINORM 12.5mg Tablet 10'sCardinorm 3.125mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
8885,Cardiopril 2.5mg Capsule 10'SCardiopril 10mg Capsule 10'SCardiopril 5mg Capsule 10'SCardiopril 1.25mg Capsule 10'S,Hypertension,lower high blood pressure (hypertension),Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
8886,Cardiopril H 5mg Tablet 10'SCardiopril H 2.5mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
8887,Cardipin 10mg Tablet 30'SCardipin 20mg Tablet 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
8888,Cardipure 12.5mg Tablet 10'SCardipure 3.125mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
8889,CARDIRIL 5mg Tablet 10'sCardiril 2.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
8890,Cardivas CR 20mg Tablet 10'SCardivas 3.125mg Tablet 10'SCardivas CR 40mg Capsule 10'SCardivas 25mg Tablet 10'SCardivas 6.25mg Tablet 10'SCardivas CR 10mg Capsule 10'SCardivas CR 10mg Tablet 10'SCardivas CR 20mg Capsule 10'SCardivas 12.5mg Tablet 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
8891,Cardivas CR 40mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
8892,CARDIVIL 3.125mg Tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
8893,Cardol 3.125mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
8894,Cardules 5mg Capsule 10'SCardules 20mg Capsule 10'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
8895,Cardules Plus 50/10mg Capsule 10'SCardules Plus 50/20 Capsule 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
8896,Cardules Retard 10mg Capsule 10'SCardules Retard 20mg Capsule 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
8897,Carelol 3.125mg Tablet 10'SCarelol 12.5mg Tablet 10'SCarelol 25mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
8898,Carloc 25mg Tablet 10'SCarloc 3.125mg Tablet 10'SCarloc 12.5mg Tablet 15'SCarloc 12.5mg Tablet 10'SCarloc 6.25mg Tablet 15'SCarloc 6.25mg Tablet 10'SCarloc 3.125mg Tablet 15'S,Hypertension,lowerÿchance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
8899,Carpro Capsule 10'S,Hypertension,ÿtreat high blood pressure (hypertension) and a type of chest pain called angina,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
